config_id,val_rmse,train_duration_min,is_best,timestamp,error,modals,lr,node_stalk_dim,fusion_type,batch_size,edge_stalk_dim,num_diffusion_layers,weight_decay,dropout_rate,epochs
0,0.902059018611908,0.92,True,2026-02-24 10:28:23,,"['text', 'video']",0.0001,128,attention,64,64,2,0.0001,0.1,30
1,0.9078642129898071,0.34,False,2026-02-24 10:28:43,,"['text', 'video']",0.0001,64,attention,256,64,2,0.0001,0.1,30
2,0.9016587138175964,0.54,True,2026-02-24 10:29:16,,"['text', 'video']",0.0001,64,average,128,64,2,0.0001,0.1,30
3,0.8971386551856995,0.64,True,2026-02-24 10:29:54,,"['text', 'video']",0.0001,256,attention,128,64,2,0.0001,0.1,30
4,0.9001750946044922,0.22,False,2026-02-24 10:30:07,,"['text', 'video']",0.0001,128,average,256,64,2,0.0001,0.1,30
5,0.8994056582450867,0.66,False,2026-02-24 10:30:47,,"['text', 'video']",0.0001,64,attention,128,64,2,0.0001,0.1,30
6,0.8970451354980469,0.17,True,2026-02-24 10:30:57,,"['text', 'video']",0.0003,128,average,256,64,2,0.0001,0.1,30
7,0.9027515053749084,0.3,False,2026-02-24 10:31:15,,"['text', 'video']",0.0005,64,average,128,64,2,0.0001,0.1,30
8,0.8996912240982056,0.33,False,2026-02-24 10:31:35,,"['text', 'video']",0.0001,64,average,256,64,2,0.0001,0.1,30
9,0.8962071537971497,0.41,True,2026-02-24 10:31:59,,"['text', 'video']",0.0005,64,attention,256,64,2,0.0001,0.1,30
10,0.8897029757499695,1.78,True,2026-02-24 10:33:45,,"['text', 'video']",0.001,256,attention,64,64,2,0.0001,0.1,30
11,0.8990187644958496,0.43,False,2026-02-24 10:34:11,,"['text', 'video']",0.0008,256,average,128,64,2,0.0001,0.1,30
12,0.8953353762626648,0.71,False,2026-02-24 10:34:53,,"['text', 'video']",0.0008,64,concat,64,64,2,0.0001,0.1,30
13,0.9058681130409241,0.11,False,2026-02-24 10:35:00,,"['text', 'video']",0.0005,64,average,256,64,2,0.0001,0.1,30
14,0.8923435807228088,1.85,False,2026-02-24 10:36:51,,"['text', 'video']",0.0005,64,attention,64,64,2,0.0001,0.1,30
