config_id,val_rmse,train_duration_min,is_best,timestamp,error,modals,lr,node_stalk_dim,fusion_type,batch_size,edge_stalk_dim,num_diffusion_layers,weight_decay,dropout_rate,epochs
0,0.9068376421928406,0.2,True,2026-02-24 11:06:36,,"['text', 'video']",0.0003,256,concat,256,32,1,0.001,0.0,30
1,0.9110694527626038,0.12,False,2026-02-24 11:06:43,,"['text', 'video']",0.0003,256,concat,256,128,1,0.001,0.1,30
2,0.895047128200531,0.24,True,2026-02-24 11:06:58,,"['text', 'video']",0.0003,256,concat,256,128,4,0.0001,0.2,30
3,0.8996862173080444,0.16,False,2026-02-24 11:07:07,,"['text', 'video']",0.0003,256,concat,256,32,3,0.0001,0.2,30
4,0.9259862899780273,0.1,False,2026-02-24 11:07:13,,"['text', 'video']",0.0003,256,concat,256,128,3,0.001,0.1,30
5,0.903579592704773,0.15,False,2026-02-24 11:07:23,,"['text', 'video']",0.0003,256,concat,256,32,4,0.0001,0.3,30
6,0.895408570766449,0.37,False,2026-02-24 11:07:45,,"['text', 'video']",0.0003,256,concat,256,128,1,0.001,0.1,30
7,0.9051325917243958,0.12,False,2026-02-24 11:07:52,,"['text', 'video']",0.0003,256,concat,256,128,3,1e-05,0.1,30
8,0.9025587439537048,0.14,False,2026-02-24 11:08:00,,"['text', 'video']",0.0003,256,concat,256,128,3,1e-05,0.3,30
9,0.9176044464111328,0.13,False,2026-02-24 11:08:08,,"['text', 'video']",0.0003,256,concat,256,128,3,0.001,0.3,30
10,0.8807333707809448,0.23,True,2026-02-24 11:08:22,,"['text', 'video']",0.0003,256,concat,256,32,1,1e-05,0.1,30
11,0.9083119034767151,0.15,False,2026-02-24 11:08:31,,"['text', 'video']",0.0003,256,concat,256,128,1,0.001,0.0,30
12,0.9044502973556519,0.21,False,2026-02-24 11:08:44,,"['text', 'video']",0.0003,256,concat,256,64,1,0.001,0.2,30
13,0.9013065695762634,0.24,False,2026-02-24 11:08:58,,"['text', 'video']",0.0003,256,concat,256,32,1,0.001,0.2,30
14,0.9021321535110474,0.25,False,2026-02-24 11:09:13,,"['text', 'video']",0.0003,256,concat,256,32,2,0.001,0.0,30
15,0.886867105960846,0.34,False,2026-02-24 11:09:34,,"['text', 'video']",0.0003,256,concat,256,128,2,0.0001,0.3,30
16,0.8973416686058044,0.2,False,2026-02-24 11:09:46,,"['text', 'video']",0.0003,256,concat,256,128,4,1e-05,0.1,30
17,0.8998696804046631,0.28,False,2026-02-24 11:10:03,,"['text', 'video']",0.0003,256,concat,256,32,1,0.001,0.0,30
